post,username,mbti,titles_all
18313,refugee, INFP - The Idealists,['MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ ']
18314,nadej, INFP,['Ben folds - Still fighting it ']
18315,cheveyo, Unknown,['Reggie Watts:  Fuck Shit Stack']
18316,yet-another-intj, INTJ,['Jimi Hendrix - Valleys Of Neptune']
18317,littleorange, ISFP,['Christina Aguilera - The Voice Within']
18318,surreal-snake, INFJ,[]
18319,ancientone, INFJ - The Protectors,[]
18320,yet-another-intj, INTJ,['Sia \\xe2\\x80\\x94 TV Is My Parent']
18321,ancientone, INFJ - The Protectors,[]
18322,gasfarming, INTP - The Thinkers,[]
18323,yet-another-intj, INTJ,"['Omar Rodriguez Lopez Group Live Los Angeles I', 'Omar Rodriguez Lopez Group Live Los Angeles  II', 'Omar Rodriguez Lopez Group Live in Los Angeles  III']"
18324,ancientone, INFJ - The Protectors,"['Tenderly"" - Jim Martinez Plays Oscar Peterson']"
18325,aya-the-abysswalker, ENFP,['Undead Nightmare - OST - 15. Bad Voodoo - Kreeps']
18326,vanishing-point, Unknown Personality,['The Horrors feat. Florence - Still Life ']
18327,vanishing-point, Unknown Personality,['Arcade Fire - Arcade Fire presents Sprawl II ']
18328,cheveyo, Unknown,['#10 On Melancholy Hill - Gorillaz - Plastic Beach']
18329,soya, Unknown,[]
18330,nadej, INFP,['Easy Silence']
18331,eerie, INTP - The Thinkers,[]
18332,antipode, INFJ - The Protectors,[]
18333,cheveyo, Unknown,['Godsmack - I fucking hate you ']
18334,surreal-snake, INFJ,['Tool - Third Eye ']
18335,nastorm, INTP - The Thinkers,[]
18336,kaiserinrose, ISFJ - The Nurturers,[]
18337,aya-the-abysswalker, ENFP,[]
18338,eerie, INTP - The Thinkers,['Violent Femmes | Blister in the Sun']
18339,yet-another-intj, INTJ,[]
18340,reachingthesky, INFJ - The Protectors,[]
18341,orchidion, Unknown,[]
18342,soya, Unknown,['Grimes - Vanessa ']
18343,serenesam, Unknown Personality,['\\xd0\\x9d\\xd0\\xb5 \\xd0\\x90\\xd0\\xbd\\xd0\\xb3\\xd0\\xb5\\xd0\\xbb\\xd1\\x8b - \\xd0\\x9e\\xd1\\x82\\xd0\\xbf\\xd1\\x83\\xd1\\x81\\xd1\\x82\\xd0\\xb8 .mpg  clip ']
18344,neonbomb, INFP - The Idealists,['Eurythmics - Sweet Dreams  ']
18345,helios, ENTJ - The Executives,['Muse - Unnatural Selection']
18346,vanishing-point, Unknown Personality,[]
18347,yet-another-intj, INTJ,['Jimi Hendrix - Somewhere ']
18348,moon-pix, INFP - The Idealists,['Reel Big Fish - Everyone Else is An Asshole']
18349,moon-pix, INFP - The Idealists,['Pete Wylie ']
18350,cursive, ISTP,['PJ Harvey - This Is Love']
18351,whippit, ENFP - The Inspirers,['Bold as love- Jimi Hendrix-gayageum Luna']
18352,latortugachina, Unknown Personality,[]
18353,aya-the-abysswalker, ENFP,[]
18354,littleorange, ISFP,['Little Boxes - Walk off the Earth']
18355,serenesam, Unknown Personality,['Justin Timberlake - Cry Me A River ']
18356,tanstaafl28, ENTP,[]
18357,aya-the-abysswalker, ENFP,['Journey: I Was Born For This  by Austin Wintory']
18358,tanstaafl28, ENTP,[]
18359,aya-the-abysswalker, ENFP,[]
18360,tanstaafl28, ENTP,[]
18361,aya-the-abysswalker, ENFP,[]
18362,tanstaafl28, ENTP,[]
18363,aya-the-abysswalker, ENFP,[]
18364,neonbomb, INFP - The Idealists,['Muse - Hysteria ']
18365,cheveyo, Unknown,['MC Frontalot - NERD LIFE ']
18366,aware, INTJ - The Scientists,['Flying Lotus - Putty Boy Strut ']
18367,elpis, INTP - The Thinkers,['Lana Del Ray  -American']
18368,yet-another-intj, INTJ,['John Butler Trio - Media ']
18369,orchidion, Unknown,"['The Chemical Brothers - Galvanize', 'Bonobo - Noctuary', ""Brahms' Requiem - Denn alles fleisch es ist wie gras""]"
18370,yet-another-intj, INTJ,['John Butler Trio - What you want']
18371,an-absurd-man, Unknown Personality,['Yppah - Longtime']
18372,aquamarine, INTP - The Thinkers,"['\\xe6\\x9b\\xb2\\xe5\\xa9\\x89\\xe5\\xa9\\xb7 Qu Wanting - Jar of Love', ""Plain White T's - Hey There Delilah"", ' Dust_In_The_Wind - Sungha Jung', '\\xe5\\x91\\xa8\\xe5\\x82\\xb3\\xe9\\x9b\\x84-\\xe9\\xbb\\x83\\xe6\\x98\\x8f', 'Avril Lavigne - Complicated ']"
18373,lycrester, INFJ - The Protectors,['The Rolling Stones - Gimme Shelter ']
18374,kaiserinrose, ISFJ - The Nurturers,['Dissolved Girl - Massive Attack']
18375,neonbomb, INFP - The Idealists,['Moby - Porcelain']
18376,vanishing-point, Unknown Personality,"[""The La's - Timeless Melody "", 'Elastica - Stutter']"
18377,sonny, Unknown,['Gomez - Hamoa Beach ']
18378,an-absurd-man, Unknown Personality,['This Will Destroy You - They Move On Tracks Of Never-ending Light']
18379,sonny, Unknown,['Puddle Of Mudd - She Hates Me']
18380,yet-another-intj, INTJ,['Zephyr Quartet - Cult Classics - Golden Brown']
18381,sonny, Unknown,['SKRILLEX - Bangarang feat. Sirah ']
18382,vanishing-point, Unknown Personality,"['Susanne Sundf\\xc3\\xb8r - The Silicone Veil - Live at Skavlan 05-10-2012', 'Low - Monkey ']"
18383,aquamarine, INTP - The Thinkers,"[""\\xe7\\x8e\\x8b\\xe8\\x8b\\xa5\\xe7\\x90\\xb3 Joanna Wang - Let's Start from Here "", 'T-ara _ DAY BY DAY', 'Ellie Goulding - Lights']"
18384,agile, ENFP - The Inspirers,['Part Of The Glory -  Balkan Beat Box ']
18385,orchidion, Unknown,"['Shostakovich String Quartet No. 8 in C Minor ', 'Shostakovich String Quartet No. 8 - 2nd & 3rd Mvt']"
18386,theprocrastinatingmaster, INTP - The Thinkers,['Cat Stevens-Wild World']
