,0,1,2,3,4,5,6,7,8,9
57,"So you think that it's over, That your love has finally reached the end. Any time you call, night or day, I'll be right there for you if you need a friend. It's gonna take a little time. Time is sure to mend your broken heart. Don't you even worry, pretty darlin'. I know you'll find love again Yeah Love is all around you Love is knockin' outside your door. Waitin' for you is this love made just for two Keep an open heart and you'll find love again, I know. Love is all around you, yeah Love is knockin' outside your door. Waitin' for you is this love made just for two Keep an open heart and you'll find love again, I know. Love will find a way. Darlin', love is gonna find a way, Find its way back to you. Love will find a way. So look around, open your eyes. Love is gonna find a way. Love is gonna, love is gonna find a way. Love will find a way. Love's gonna find a way back to you, yeah I know, I know, I know, I know","One, two, three Who's the one that makes you happy? Or maybe, who's the one always on your mind? And who is the reason you're livin' for? Who's the reason for your smile? I feel so lonely, yet I know I'm not the only one To ever feel this way I love ya so much that I think I'm goin' insane I'm goin' crazy, outta my head, I'm goin' crazy, outta my head I can't think about nothin' but your good, good love, And what you give Now I mean everybody Everyone needs somebody And you know, everybody needs someone Well, and a-yes it's true, everybody needs a special kind of love And you're the only one I'm thinkin' of You mean the world to me, you are my only I feel so lonely, yet I know I'm not the only one To carry on this way I love ya so much I lose track of time, lose track of the days I'm goin' outta my head, I'm goin' crazy, outta my head I can't think about a-nothin' but your good, good love And what you give It's not whatcha got, it's what you give It ain't the life you choose, it's the life you live It's only what you give, only what you give, only what you give It's not whatcha got, but the life you live That's it and that's right  Why it's the life you live Oh play it pretty for the world And you're the one that makes me happy, oh yeah baby And you're the one always on my mind Oh and a-yes it's true You are my reason, my one and only that I've been livin' for Why can't forever be forever and nothin' more I feel so lonely, yet I know I'm not the only one To ever feel this way I love ya so much I lose track of time, I lose track of the days I'm goin' outta my head, I'm goin' crazy, outta my head I can't think about a-nothin' but your good, sweet love And what you give It's not whatcha got, it's what you give It ain't the life you choose, it's the life you live No, no, no, no, no, no It's not whatcha got, it's what you give And it ain't what it's not, but a-what it is It's only what you give, only what you give, only what you give It's not whatcha got, oh but what you give It's not whatcha got, it's what you give It ain't the life you choose, it's the life you live It's only what you give, only what you give, it's only what you give It's not whatcha got, but what life you live It's only what you give, what you give, what you give It's only what you give, it's only what you give, no no no   It's only what you give, what you give, what you give It's only what you give, it's only what you give Yeah yeah yeah yeah yeah yeah Is that good enough for the girls that we run around with? Well, I do believe so, It's only what you give, what you give, what you give It's only what you give, it's only what you give",,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,"President's bullet-ridden body in the street Ride, Johnny ride Kennedy's shattered head hits concrete Ride, Johnny ride Johnny's wife is floundering Johnny's wife is scared Run, Jackie run Texas is an outrage when your husband is dead Texas is an outrage when they pick up his head Texas is the reason that the president's dead You gotta suck, suck, Jackie suck President's bullet-ridden body in the street Ride, Johnny ride Kennedy's shattered head hits concrete Ride, Johnny ride Texas is an outrage when your husband is dead Texas is an outrage when they pick up his head Texas is the reason that the president's dead You gotta suck, suck, Jackie suck Arise Jackie O, Jonathon of Kennedy Well, arise and be shot down The dirt's gonna be your dessert My cum be your life source And the only way to get it Is to suck or fuck Or be poor and devoid And masturbate me, masturbate me Then slurp it from your palm Like a dry desert soaking up rain Soaking up sun Like a dry desert soaking up rain Soaking up sun",,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,"Learn to sleep through misery  Never gonna wake feeling free  No one fucks as good as Marilyn  Plastic surgery sure cures your sins  You need a fix I'm your prostitute  Repression says depravity's cute  I'll feed you lines to make you smile  You're so easy to dehumanise  It's not that I can't find worth in anything  It's not that I can't find worth in enough  It's not that I can't find worth in anything  In your love  Pay for it  Pay for it  Degrade your senses till you hate me  Begging to be cool through nicotine  Decadence costs but she must be clean  Build up walls so you can't feel  When you get high 'it's so unreal'  Days fade in and I need the night  I've seen your dumb face all of my life  Eyes close down, I don't want to see  Broken communion of the twentieth century  It's not that I can't find worth in anything  It's just that I can't find worth in enough  It's not that I can't find worth in anything  In your love  Pay for it  Pay for it  You're gonna pay for my intelligence  Pay for it  Pay for it  'Cause I'm a slut and you just suck  Pay for it  Pay for it  Degrade your senses 'til you hate me  Pay for it  Pay for it  We promote all sickness and disease  You're gonna pay for my intelligence  'Cause I'm a slut and you just suck  You're so dead  You're so dead",,,,,,,,,
73,"Sleep, sleep with the lights on Shutter with shades drawn There's too many windows Noise, cars on the freeway Tempting a clean break There's nowhere left to go Watching the room tweak Through cracks in the concrete Plates they will shift Houses will shake Fences will drift We will awake Only to find Nothing's the same Nothing's the same Home, home is a fire A burning reminder Of where we belong, oh With walls, built up around us The bricks make me nervous They're only so strong, though They're only so strong, though Plates they will shift Houses will shake Fences will drift We will awake Only to find Nothing's the same Nothing's the same Nothing's the same Nothing's the same As yesterday As yesterday",,,,,,,,,
74,,,,,,,,,,
