,0,1,2,3,4,5,6,7,8,9
656,,,,,,,,,,
657,,,,,,,,,,
658,,,,,,,,,,
659,,,,,,,,,,
660,,,,,,,,,,
661,"Time is never time at all You can never ever leave without leaving a piece of youth And our lives are forever changed We will never be the same The more you change the less you feel Believe, believe in me, believe That life can change, that you're not stuck in vain We're not the same, we're different tonight Tonight, so bright Tonight And you know you're never sure But you're sure you could be right If you held yourself up to the light And the embers never fade in your city by the lake The place where you were born Believe, believe in me, believe In the resolute urgency of now And if you believe there's not a chance tonight Tonight, so bright tonight We'll crucify the insincere tonight We'll make things right, we'll feel it all tonight We'll find a way to offer up the night tonight The indescribable moments of your life tonight The impossible is possible tonight Believe in me as I believe in you, tonight",,,,,,,,,
662,"! Do you wanna go for a ride? Sure Ken! Jump In... I'm a barbie girl, in a barbie world Life in plastic, it's fantastic! you can brush my hair, undress me everywhere Imagination, life is your creation Come on Barbie, let's go party! I'm a barbie girl, in a barbie world Life in plastic, it's fantastic! you can brush my hair, undress me everywhere Imagination, life is your creation I'm a blond bimbo girl, in a fantasy world Dress me up, make it tight, I'm your dolly You're my doll, rock'n'roll, feel the glamour in pink, kiss me here, touch me there, hanky panky... You can touch, you can play, if you say: ""I'm always yours"" I'm a barbie girl, in a barbie world Life in plastic, it's fantastic! you can brush my hair, undress me everywhere Imagination, life is your creation Come on Barbie, let's go party! (Ah-ah-ah-yeah) Come on Barbie, let's go party! (uu-oooh-u) Come on Barbie, let's go party! (Ah-ah-ah-yeah) Come on Barbie, let's go party! (uu-oooh-u) Make me walk, make me talk, do whatever you please I can act like a star, I can beg on my knees Come jump in, bimbo friend, let us do it again, hit the town, fool around, let's go party You can touch, you can play, if you say: ""I'm always yours"" You can touch, you can play, if you say: ""I'm always yours"" Come on Barbie, let's go party! (Ah-ah-ah-yeah) Come on Barbie, let's go party! (uu-oooh-u) Come on Barbie, let's go party! (Ah-ah-ah-yeah) Come on Barbie, let's go party! (uu-oooh-u) I'm a barbie girl, in a barbie world Life in plastic, it's fantastic! you can brush my hair, undress me everywhere Imagination, life is your creation I'm a barbie girl, in a barbie world Life in plastic, it's fantastic! you can brush my hair, undress me everywhere Imagination, life is your creation Come on Barbie, let's go party! (Ah-ah-ah-yeah) Come on Barbie, let's go party! (uu-oooh-u) Come on Barbie, let's go party! (Ah-ah-ah-yeah) Come on Barbie, let's go party! (uu-oooh-u) Oh, I'm having so much fun! Well Barbie, we're just getting started Oh, I love you Ken!",,,,,,,,,
663,"Road runner, road runner Going hundred mile per hour With your radio on With your radio on Road runner, road runner Going hundred mile per hour With your radio on With your radio on Somalia, Angola, Ghana, Ghana, Ghana (hey!) India, Sri Lanka, Burma, bamboo banga (hey!) This the bamboo banga I said bamboo banga This the bamboo banga I said bamboo banga And we're hittin our records like a tennis player And the drummers do the shit like the macarena This the jungle banga Or the cold jammer I said jungle banga I said cold jammer I said jungle banga I said cold jammer I'm bored of eating banana I want guanabana I wanna warm my buns this summer summer summer summer Now I'm sittin' down chillin on some gun powder Strike / match / light / fire Who's that girl called Maya? M.I.A. coming back with power power (power power!) M.I.A. coming back with power power (power power!) I said M.I.A. coming back with power power (power power!) M.I.A. coming back with power power (power power!) I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm knocking on the doors of your hummer hummer Yeah, I'm knocking on the doors of your hummer hummer Yeah, I'm knocking on the doors of your hummer hummer Yeah, I'm knocking on the doors of your hummer hummer You'll be hungry like the wolves hunting dinner dinner And we're moving with the packs like hyena ena Barbarella look like she's my dead ringer When I?m dogging on the bonner of ya red Honda I'm a road runner I'm a world runner I'm a road runner I'm a world runner I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga M.I.A. coming back with power power (power power!) M.I.A. coming back with power power (power power!) M.I.A. coming back with power power (power power!) M.I.A. coming back with power power (power power!) I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga I'm big timer, it's the bamboo banga",,,,,,,,,
664,,,,,,,,,,
665,,,,,,,,,,
666,"All you Trekkies and TV addicts Don't mean to diss don't mean to bring static All you Klingons in your grandma's house Grab your backstreet friend and get loud Blowin' doors off hinges I'll grab you with the pinchers And no, I didn't retire I'll snatch you up with the needle-nose pliers Like Mutual of Omaha With the ill boat you've never seen before Glidin' in the glades And like Lorne Greene you know I get paid Like Caprese and with the basil Not goofy like Darren or Hazel I'm a motherfuckin' ""Nick at night"" With classics rerunning that you know all right Now remain calm, no alarm, 'cause my farm ain't fat So what's up with that? I've got friends and family that I respect When I think I'm too good they put me in check So believe when I say I'm no better than you Except when I rap so I guess it ain't true Like that y'all and you just don't stop Guaranteed to make your body rock Check-ch-check-check-check-ch-check it out What-wha-what-what-what's it all about? Work-wa-work-work-work-wa-work it out Let's turn this, turn this party out Said, Doc what's the condition? I'm a man that's on a mission Said, son, you'd better listen Stuck in your (what?) is an electrician Like a scientist When I'm applying this Method of controlling my mind Like Einstein and the rappin' Duke combined Now, hey, baby bubba now what the deal? I didn't know you go for that mass appeal Some call it salugi, some hot potato I stole your mic and you won't see it later 'Cause I work magic like a magician I add up like a mathematician I'm a bank cashier, engineer I wear cotton but I don't wear sheer Shazam and abracadabra In the whip I'm gonna cruise past ya Yo, money, don't chump yourself Put that (what?) back on the shelf Light rays blazin' You're out of phase, and my crew's amazin' We're working on the record yo, so just stay patient Check-ch-check-check-check-ch-check it out What-wha-what-what-what's it all about? Work-wa-work-work-work-wa-work it out Let's turn this, turn this party out Now, I go by the name of the King Adrock I don't wear a cup nor a jock I bring the shit that's beyond bizarre Like Miss Piggy, who moi? I am the one with the clientele Who say, Adrock, you rock so well I've got class like pink champale MCA grab the mic before the mic goes stale Don't test me they can't arrest me I'll fake right, cross-over and shoot lefty You look upset, yo, calm down You look like cable guy dunked off of your crown I flow like smoke out a chimney You never been me You want to rap but what you're making ain't Hip-Hop, B Now, get your clothes right out the dryer Put Armor-All up on your tire Sport that fresh attire Tonight we goin' out set the town on fire Set the town ablaze, gonna stun and amaze Ready to throw a craze Make your granny shake her head and say ""those were the days"" Now, check-ch-check-check-check-ch-check it out What-wha-what-what-what's it all about? Work-wa-work-work-work-wa-work it out Let's turn this, turn this party out",,,,,,,,,
667,"And I would do anything for love I'd run right into hell and back I would do anything for love I'd never lie to you and that's a fact But I'll never forget the way you feel right now Oh no, no way And I would do anything for love Oh I would do anything for love I would do anything for love, but I won't do that No, I won't do that Some days it don't come easy Some days it don't come hard Some days it don't come at all, and these are the days that never end Some nights you're breathing fire Some nights you're carved in ice Some nights you're like nothing I've ever seen before or will again Maybe I'm crazy, but it's crazy and it's true I know you can save me, no-one else can save me now but you As long as the planets are turning As long as the stars are burning As long dreams are coming true You'd better believe it, that I would do Anything for love Oh I would do anything for love Oh I would do anything for love, but I won't do that No, I won't do that I would do anything for love Anything you've been dreaming of, but I just won't do that I would do anything for love Anything you've been dreaming of, but I just won't do Some days I pray for silence Some days I pray for soul Some days I just pray to the god of sex and drums and rock 'n' roll Maybe I'm lonely, that's all I'm qualified to be That's just one and only, the one and only promise I can keep As long as the wheels are turning As long as the fires are burning As long as your prayers are coming true You'd better believe it, that I would do Anything for love And you know it's true and that's a fact I would do anything for love, and there'll never be no turning back But I'll never do it better than I do it with you, so long, so long I would do anything for love Oh, I would do anything for love I would do anything for love, but I won't do that No, no, no, I won't do that Will you raise me up? will you help me down? Will you get me right out of this godforsaken town? Will you make it all a little less cold? I can do that I can do that Will you cater to every fantasy I got? Will you hose me down with holy water, if I get too hot? Will you take me places I've never known? I can do that Oh no, I can do that I know the territory, I've been around It'll all turn to dust and we'll all fall down Sooner or later you'll be screwing around I won't do that No, I won't do that Anything for love But I won't do that",,,,,,,,,
668,"Instead of dreaming I Sleepwalk Cause I lost you And now what am I to do What to do. Can't believe that we're through I don't care how much you tell me Sleep talk Cause I miss you While the memory of you Lingers like a song Darling, I was so wrong But I'll be right some day The night fills my lonely place I see your face I know, I miss you so I still love you And it drives me insane Sleepwalk Every night I just Sleepwalk And when you walk inside the door I will Sleepwalk no more Sleepwalk Every night I just Sleepwalk And when you walk inside the door I will Sleepwalk no more I will Sleepwalk no more I will Sleepwalk no more",,,,,,,,,
669,"The lights are on The t.v's off The floors are flesh and silk Both sinfully soft Skin glides over silk And silk over skin The penthouse is alive tonight Theres people writhing in its veins Sunken in the masters chair Lord gold's face, a blank survey Women pleasure men at the wave of a golden hand And turn to receive when it waves again The wine is fire The whiskeys full of stars There's a deaf mute in a bunny suit Working the bar The loves fuck They pulse and moan Passion playing tribute At the foot of a porcelain Sunken in the masters chair Lord gold's face a blank survey Women pleasure men at the wave of a golden hand And turn to receive when it waves again Still his eyes are like an empty carousel Promising pleasure but offering none! She feels him Watching gazing leering blankly vacant worthless golden perfect Beyond these walls nothing exists Here there's flesh+gold and blood in the wine Outside there's barren emotional landscape Here we drink, dream+cum inside Here there's no pain Here she comes Wash off the filth and bring her Shower her body with jewels covered in cum Sacrificed on his holy altar of passions The golden day has come The lights are all off now And the love growing louder The pink, throbbing and filling the room Indulging in the inner, denying the outer Shes brought before he His empty gaze it lingers He beats a cats paw- against a toy drum His golden will be done",,,,,,,,,
670,"I know my house floods at the basement In all, I'd sell it if I could In the winter time, the kitchen is freezing Because my furnace is not good If you accept my true intention To find a house for all of us My mind's eye can see a dimension That defies its adorable size where the garden is lush Let's get put out to pasture Let's go underground Let's sit up in the thatched roof rafters Where we can listen to the sound If anything here babbles Like a brook in a stream or a little child I wanna live then in a hole, grin, Where the buttercup roams wild Give me shelter of a doll-like proportion Roll me over in the sparkling dune Far from town, lay me down on the marshy stones On the warm wet ground I wanna buy deceited hearts for you On an Afternoon of the Faun Afternoon of the Faun Afternoon of the Faun On an Afternoon of the Faun",,,,,,,,,
671,"I, insectica  Fly thru dimensia  You give me more than meets the eye  You give me more than I can't deny  A thousand eyes thru your soul  A thousand eyes over me  Your power eclipses me  As I take my place beneath thee  I want to be in your colony  I want to serve your queen  For the venom through iron wings  Still beats in symmetry Deathray deathray you're gay deathray  Straight to my heart  She tears apart  You have the right to remain in pieces  You have the right to own my heart  Now I am a part of your colony  Now I live to serve your queen  As the venom through iron wings  Still beats in symmetry",,,,,,,,,
672,,,,,,,,,,
673,"Just for now Just for now Just for now Just for now Just for now Just for now It's that time of year Leave all our hopelessness's aside If just for a little while Just stop right here I know we've followed a bumpy ride. I'm sinking along your side How did you know? It's what I always wanted Could never have too many of these Well you, quit kicking me under the table I'm trying; will somebody make her shut up about it? Can we settle down please? It's that time of year Leave all our hopelessness's aside If just for a little while Just stop right here I know we've followed a bumpy ride. I'm sinking along your side Lie down Deep breaths Count to ten Nod your head I think something is burning Now you've ruined the whole thing Might fool the smoke alarm Whoever put on this music? Better quick sharp remove it Pour me another Oh, don't wag your finger at me It's that time of year Leave all our hopelessness's aside If just for a little while Just stop right here I know we've followed a bumpy ride. I'm sinking along your side Get me outta here Get me outta here Get me outta here Get me outta here Get me outta here Get me outta here Get me outta here Get me outta here Get me outta here Get me outta here Get me outta here Get me outta here Get me outta here Just for now Just for now.",,,,,,,,,
674,,,,,,,,,,
675,,,,,,,,,,
676,,,,,,,,,,
677,,,,,,,,,,
678,"I can feel your fingers Feel your fingers in my head Going through the wreckage Through the wreckage of my thoughts I can feel your fingers Feel your fingers in my head Going through the wreckage Through the wreckage of my thoughts I can feel your eyes I feel your eyes, they're in my head Going through the wreckage Through the wreckage of my thoughts I can feel your eyes I feel your eyes, they're in my head Going through the wreckage Through the wreckage of my thoughts You are on your own, you are on your own, you are on your own You are on your own, you are on your own, you are on your own You are on your own, you are on your own, you are on your own You are on your own, you are on your own, you are on your own",,,,,,,,,
679,,,,,,,,,,
680,"One night to be confused One night to speed up truth We had a promise made Four hands and then away Both under influence We had divine scent To know what to say Mind is a razorblade To call for hands of above, to lean on Wouldn't be good enough for me, no One night of magic rush The start: a simpel touch One night to push and scream And then relief Ten days of perfect tunes The colours red and blue We had a promise made We were in love To call for hands of above, to lean on Wouldn't be good enough for me, no To call for hands of above, to lean on Wouldn't be good enough for me, no And you You knew the hand of a devil And you Kept us awake with wolves teeth Sharing different heartbeats in one night To call for hands of above, to lean on Wouldn't be good enough for me, no To call for hands of above, to lean on Wouldn't be good enough for me, no",,,,,,,,,
681,"All around the world statues crumble for me Who knows how long I've loved you Everywhere I go people stop and they see Twenty-five years old my mother God rest her soul I just wanna fly Put your arms around me, baby  Put your arms around me, baby I just wanna fly Put your arms around me, baby  Put your arms around me, baby Dance a little stranger, show me where you've been Love can make you hostage wanna do it again There's no time to think about the starting or the end We'll find out I'm told, my mother she told me so I just wanna fly Put your arms around me, baby  Put your arms around me, baby I just wanna fly Put your arms around me, baby  Put your arms around me, baby I just want to fly I just want to fly All around the world, statues crumble for me Who knows how long I've loved you Everyone I know has been so good to me Twenty-five years old, my mother God rest her soul I just wanna fly Put your arms around me, baby  Put your arms around me, baby I just wanna fly Put your arms around me, baby  Put your arms around me, baby I just want to fly I just want to fly I just want to fly I just want to fly I just want to fly",,,,,,,,,
682,,,,,,,,,,
683,"There's every good reason for letting you go She's sneaky and smoked out And it's starting to show I'll never let you go I'll never let you go I'll never let you go I'll never let you turn around, our back on each other That's a good idea, break a promise to your mother Turn around your back on each other You say that I've changed Well maybe I did But even if I changed What's wrong with it I'll never let you go I'll never let you go I'll never let you go I'll never let you turn around, our back on each other That's a good idea, break a promise to your mother Turn around your back on each other And our friends are gone and gone And all the time moves on and on And all I know is it's wrong, it's wrong And all I know it's wrong, it's wrong, it's wrong, it's wrong If there's a reason, it's lost on me Maybe we'll be friends, I guess we'll see I'll never let you go I'll never let you go I'll never let you go I'll never let you go I'll never let you turn around, our back on each other That's a good idea, break a promise to your mother Turn around let's turn on each other Good idea, break a promise to your mother Turn around your back on each other That's a good idea, break a promise to your mother Turn around your back on each other What a good idea I remember the stupid things, the mood rings, the bracelets and the beads Nickels and dimes, yours and mine, did you cash in all your dreams You don't dream for me, no, (goodbye, goodbye) you don't dream for me, no But I still feel you pulse like sonar from the days in the waves That girl is like a sunburn I would like to say The girl is like a sunburn I would like to say She's like a sunburn She's like a sunburn",,,,,,,,,
684,,,,,,,,,,
685,,,,,,,,,,
686,,,,,,,,,,
687,,,,,,,,,,
688,"We'll do it all Everything On our own We don't need Anything Or anyone If I lay here If I just lay here Would you lie with me and just forget the world? I don't quite know How to say How I feel Those three words Are said too much They're not enough If I lay here If I just lay here Would you lie with me and just forget the world? Forget what we're told Before we get too old Show me a garden that's bursting into life Let's waste time Chasing cars Around our heads I need your grace To remind me To find my own If I lay here If I just lay here Would you lie with me and just forget the world? Forget what we're told Before we get too old Show me a garden that's bursting into life All that I am All that I ever was Is here in your perfect eyes, they're all I can see I don't know where Confused about how as well Just know that these things will never change for us at all If I lay here If I just lay here Would you lie with me and just forget the world?",,,,,,,,,
689,,,,,,,,,,
690,,,,,,,,,,
691,"Oh oh I really wanted that thing I just want to sing I love you baby Won't you bring All the flowers you Find out in the garden Don't tell me the truth That your heart has hardened But you don't want me anymore How can it be Look what you've done to me Oh oh Oh oh the bee does quickly sting I was wondering If you could maybe darling Think? I'd give everything If you'd grant my love a pardon And all the fruits Again would fill the garden But you don't want me anymore How can it be? Look what you've done to me Oh oh Oh oh, oh oh oh oh (and so on)",,,,,,,,,
692,,,,,,,,,,
693,,,,,,,,,,
694,,,,,,,,,,
695,,,,,,,,,,
696,,,,,,,,,,
697,,,,,,,,,,
698,"At twenty years of age I'm still looking for a dream A war's already waged for my destiny But You've already won the battle And You've got great plans for me Though I can't always see 'Cause I got a couple dents in my fender Got a couple rips in my jeans Try to fit the pieces together But perfection is my enemy And on my own I'm so clumsy But on Your shoulders I can see I'm free to be me When I was just a girl I thought I had it figured out See my life would turn out right And I'd make it here somehow But things don't always come that easy And sometimes I would doubt, oh 'Cause I got a couple dents in my fender Got a couple rips in my jeans Try to fit the pieces together But perfection is my enemy And on my own I'm so clumsy But on Your shoulders I can see I'm free to be me and You're free to be You Sometimes I believe that I can do anything Yet other times I think I've got nothing good to bring But You look at my heart and You tell me That I've got all You seek, oh And it's easy to believe even though I got a couple dents in my fender Got a couple rips in my jeans Try to fit the pieces together But perfection is my enemy And on my own I'm so clumsy But on Your shoulders I can see I got a couple dents in my fender Got a couple rips in my jeans Try to fit the pieces together But perfection is my enemy And on my own I'm so clumsy But on Your shoulders I can see I'm free to be me and You're free to be You",,,,,,,,,
699,"You always make me smile, when I'm feeling down You give me such a vibe, I still live on a fire hmm It's not the way you walk and it ain't the way you talk It ain't the job you got that keeps me satisfied Your love it feels so good And that's what takes me high Higher than I've been before Your love it keeps me alive Thought I should let you know When you touch me it means so much When I'm alone at night It's you I'm always thinking of, oh baby Won't you understand, how I feel (yeah) deep inside Uh huh, you make me feel, what I need to feel (yes) In my heart Your love it feels so good And that's what takes me high Higher than I've been before Your love it keeps me alive Thought I should let you know When you touch me it means so much When I'm alone at night It's you I'm always thinking of, Oohh oh baby Your love it feels so good And that's what takes me high Higher than I've been before Your love it keeps me alive Thought I should let you know When you touch me it means so much When I'm alone at night It's you I'm always thinking of, Oohh oh baby Your love it feels so good And that's what takes me high Higher than I've been before Your love it keeps me alive Thought I should let you know When you touch me it means so much When I'm alone at night It's you I'm always thinking of, Oohh oh baby",,,,,,,,,
700,,,,,,,,,,
701,,,,,,,,,,
702,"Memory comes when memory's old  I am never the first to know  Following the stream up North  Where do people like us float  There is room in my lap  For bruises, asses, handclaps  I will never disappear  For forever, I'll be here  Whispering  Morning, keep the streets empty for me Morning, keep the streets empty for me  I'm laying down, eating snow  My fur is hot, my tongue is cold  On a bed of spider web  I think of how to change myself  A lot of hope in a one man tent  There's no room for innocence  So take me home before the storm  Velvet mites will keep us warm  Whispering  Morning, keep the streets empty for me  Morning, keep the streets empty for me  Whispering  Morning, keep the streets empty for me  Morning, keep the streets empty for me  Uncover our heads and reveal our souls  We were hungry before we were born Uncover our heads and reveal our souls  We were hungry before we were born Uncover our heads and reveal our souls  We were hungry before we were born Uncover our heads and reveal our souls  We were hungry before we were born",,,,,,,,,
703,,,,,,,,,,
704,,,,,,,,,,
705,"How many times will the clock go around How many times can my hands hit the ground How many coffins before there's a crown How far will I fall 'til the alarm sounds How come you love me when I am ugly Guess I can only hope Give me a second go Don't let me go alone You saw me at the worst You caught me falling first All I wanted to know Give me a second go No matter the weather there's never a break Conquer a ladder then slip on a snake Cried 'til my river turned into a lake And I'm wondering now before it's too late How can you save me when I am angry Reasons I'll never know Give me a second go Don't let me go alone You saw me at the worst You caught me falling first All I wanted to know Give me a second go One to five I'm half alive, six to nine I'm out of line Ten to twelve I'm not myself, By the millionth time, I cry. Give me a second go Don't let me go alone You saw me at the worst You caught me falling first All I wanted to know Give me a second go Don't let me go alone You saw me at the worst You caught me falling first All I wanted to know Give me a second go Give me a second go Give me a second go Again Give me a second go Don't let me go alone",,,,,,,,,
706,"So messed up, I want you here In my room, I want you here Now we're gonna be face-to-face And I'll lay right down in my favorite place And now I want to be your dog Now I want to be your dog Now I want to be your dog Well, come on Now I'm ready to close my eyes And now I'm ready to close my mind And now I'm ready to feel your hand And lose my heart on the burning sands And now I want to be your dog And now I wanna be your dog Now I want to be your dog Well, come on",,,,,,,,,
707,"Please excuse me, I'm not thinking clear It must just be stress But I likely shouldn't be here, I'm such a mess I never really ever know what to say When all of my emotions get in the way I'm just trying to get us on the same page I always get it better right afterward When all the wrong impressions are said and heard How come I can never get the right words, I need to convey Wish I could explain the things that I have to work out I don't feel right What has come over me, I'm about To lose my mind I never really ever know what to say When all of my emotions get in the way I'm just trying to get us on the same page (Wish I could explain) I always get it better right afterward When all the wrong impressions are said and heard How come I can never get the right words, I need to convey Wish I could explain Can I let the trees do the talking Can I let the ground do the walking Can I let the sky fill what's missing Can I let my mouth do the listening, the listening I never really ever know what to say When all of my emotions get in the way I'm just trying to get us on the same page I always get it better right afterward When all the wrong impressions are said and heard How come I can never get the right words, I need to convey Wish I could explain What I mean to say",,,,,,,,,
708,"Let's run away, from these lies Back to yesterday Safe tonight I feel the sun creepin' up like tick tock I'll try to keep you in my head, but if not We'll just keep running from tomorrow With our lips locked Yeah, you've got me begging, begging Baby please don't go If I wake up tomorrow, will you still be here I don't know, if you feel the way I do If you leave I'm going to find you Baby please don't go, go, go, go Baby please don't go, go, go, go Baby please don't go, go, go, go Baby please don't, baby please don't Baby please don't run away from my bed Start another day stay instead I feel the sun creepin' up like tick tock I'll try to keep you in my head but if not We'll just keep running from tomorrow With our lips locked Yeah, you've got me begging, begging Baby please don't go If I wake up tomorrow, will you still be here I don't know, if you feel the way I do If you leave I'm going to find you Baby please don't go, go, go, go Baby please don't go, go, go, go Baby please don't go, go, go, go Baby please don't, baby please don't, baby please don't Running from tomorrow I stay running from tomorrow I stay running from tomorrow I stay running from tomorrow Baby please don't go If I wake up tomorrow, will you still be here I don't know, if you feel the way I do If you leave I'm going to find you Baby please don't go, go, go, go Baby please don't go, go, go, go Baby please don't go, go, go, go Baby please don't, baby please don't, baby plase don't runaway",,,,,,,,,
709,,,,,,,,,,
710,,,,,,,,,,
711,,,,,,,,,,
712,"See the stone set in your eyes See the thorn twist in your side I'll wait for you Sleight of hand and twist of fate On a bed of nails she makes me wait And I wait, without you With or without you With or without you Through the storm we reach the shore You give it all but I want more And I'm waiting for you With or without you With or without you I can't live With or without you And you give yourself away And you give yourself away And you give And you give And you give yourself away My hands are tied My body bruised, she's got me with Nothing to win and Nothing left to lose And you give yourself away And you give yourself away And you give And you give And you give yourself away With or without you With or without you I can't live With or without you Oh With or without you With or without you I can't live With or without you With or without you",Don't ask me What you know is true Don't have to tell you I love your precious heart I I was standing You were there Two worlds collided And they could never tear us apart We could live For a thousand years But if I hurt you I'd make wine from your tears I told you That we could fly 'Cause we all have wings But some of us don't know why I was standing You were there Two worlds collided And they could never ever tear us apart I I was standing You were there Two worlds collided And they could never tear us apart You were standing I was there Two worlds collided And they could never tear us apart I I was standing You were there Two worlds collided,"Maybe I could be the one they adore That could be my reputation It's where I'm from that lets them think I'm a whore I'm an educated virgin Sleepwalker, don't be shy Now don't open your eyes tonight You'll be the one that defends my life While I'm dead asleep dreamin' Cupid, don't draw back your bow Sam Cooke didn't know what I know I'll never be your valentine The sleepwalker in me And God only know that I've tried Let me in, let me drown or learn how to swim Just don't leave me at the window I could be the one to be your next best friend You may need someone to hold you Sleepwalker, take this knife You may see someone tonight You'd be the one that saves my life When I'm dead asleep dreamin' Cupid, don't draw back your bow Sam Cooke didn't know what I know I'll never be your valentine The sleepwalker in me And God only know that I've tried I'm in your movie and everyone looks sad But I can hear you, your voice, the laughtrack But you never saw my best scene The one where I sleep Sleepwalk into your dreams Now, sleepwalker, what's my line It's only a matter of time Until I learn to open up my eyes When I'm dead asleep dreamin' Cupid, don't draw back your bow Sam Cooke didn't know what I know I'll never be your valentine The sleepwalker in me Now, the sleepwalker in me Now, the sleepwalker in me And God only know that I've tried",,,,,,,
713,,,,,,,,,,
714,,,,,,,,,,
715,"So you sailed away Into a gray sky morning. Now I'm here to stay, Love can be so boring. Nothing quite the same now, I just say your name now. But its not so bad, You're only the best I ever had. You don't want me back. You're just the best I ever had. So you stole my world, Now I'm just a phony. Remembering the girl Leaves me down and lonely. Sending in the weather Make yourself feel better. But it's not so bad, You're only the best I ever had. You don't need me back. You're just the best I ever had. And it may take some time To patch me up inside. But I can't take it So I run away and hide. And I may find in time That you were always right. You're always right. So you sailed away, Into a gray sky morning. Now I'm here to stay, Love can be so boring. What was it you wanted? Could it be you're haunted? But its not so bad, You're only the best I ever had. I don't want you back. You're just the best I ever had. The best I ever had. Best I ever had.",,,,,,,,,
716,,,,,,,,,,
717,,,,,,,,,,
718,,,,,,,,,,
719,,,,,,,,,,
720,"Breakin' my back just to know your name Seventeen tracks and I've had it with this game A breakin' my back just to know your name But heaven ain't close in a place like this Anything goes but don't blink, you might miss 'Cause heaven ain't close in a place like this I said heaven ain't close in a place like this Bring it back down, bring it back down tonight Never thought I'd let a rumor ruin my moonlight Well somebody told me you had a boyfriend Who looked like a girlfriend That I had in February of last year It's not confidential, I've got potential Ready let's roll onto something new Takin' it's toll then I'm leaving without you 'Cause heaven ain't close in a place like this I said heaven ain't close in a place like this Bring it back down, bring it back down tonight Never thought I'd let a rumor ruin my moonlight Well somebody told me you had a boyfriend Who looked like a girlfriend That I had in February of last year It's not confidential, I've got potential A rushing, rushing around Pace yourself for me I said maybe, baby, please But I just don't know now When all I want to do is try Well somebody told me you had a boyfriend Who looked like a girlfriend That I had in February of last year It's not confidential, I've got potential A rushing, rushing around Somebody told me you had a boyfriend Who looked like a girlfriend That I had in February of last year It's not confidential, I've got potential A rushing, rushing around Somebody told me you had a boyfriend Who looked like a girlfriend That I had in February of last year It's not confidential, I've got potential A rushing, rushing around",,,,,,,,,
721,"Taking the second plan, Begging to understand, Life of a selfless man. 'Cos out of all the flaws I've stumbled on, It's the hardest one to focus on. It's the hardest one to focus on. Why're you calling on? Isn't one enough? Giving up all she's got. 'Cos out of all the flaws I've stumbled on, It's the hardest one to focus on. It's the hardest one to focus on.",,,,,,,,,
722,,,,,,,,,,
723,,,,,,,,,,
724,,,,,,,,,,
725,"That's not the beginning of the end That's the return to yourself The return to innocence. Love Devotion Feeling Emotion Love Devotion Feeling Emotion Don't be afraid to be weak Don't be too proud to be strong Just look into your heart my friend That will be the return to yourself The return to innocence. If you want, then start to laugh If you must, then start to cry Be yourself don't hide Just believe in destiny. Don't care what people say Just follow your own way Don't give up and use the chance To return to innocence. That's not the beginning of the end That's the return to yourself The return to innocence. Don't care what people say Follow just your own way Follow just your own way Don't give up, don't give up To return, to return to innocence. If you want then laugh If you must then cry Be yourself don't hide Just believe in destiny.",,,,,,,,,
726,"I wish you would step back from that ledge my friend, You could cut ties with all the lies, that you've been living in, And if you do not want to see me again, I would understand. I would understand, The angry boy, a bit too insane, Icing over a secret pain, You know you don't belong, You're the first to fight, You're way too loud, You're the flash of light, On a burial shroud, I know something's wrong, Well everyone I know has got a reason, To say, put the past away, I wish you would step back from that ledge my friend, You could cut ties with all the lies, That you've been living in, And if you do not want to see me again, I would understand, I would understand. Well he's on the table, And he's gone to code, And I do not think anyone knows, What they are doing here, And your friends have left, You've been dismissed, I never thought it would come to this, And I, I want you to know, Everyone's got to face down the demons, Maybe today, We can put the past away, I wish you would step back from that ledge my friend, You could cut ties with all the lies, that you've been living in, And if you do not want to see me again, I would understand, I would understand, I would understand... Can you put the past away, I wish you would step back from that ledge my  friend, I would understand",,,,,,,,,
727,,,,,,,,,,
728,,,,,,,,,,
729,,,,,,,,,,
730,,,,,,,,,,
731,,,,,,,,,,
732,,,,,,,,,,
733,"I once had a girl Or should I say she once had me She showed me her room Isn't it good Norwegian wood? She asked me to stay And she told me to sit anywhere So I looked around And I noticed there wasn't a chair I sat on a rug biding my time Drinking her wine We talked until two and then she said ""It's time for bed"" She told me she worked In the morning and started to laugh I told her I didn't And crawled off to sleep in the bath And when I awoke I was alone This bird had flown So I lit a fire Isn't it good Norwegian wood?",,,,,,,,,
734,,,,,,,,,,
735,,,,,,,,,,
