,0,1,2
10,,,
11,,,
12,"Will you walk me To the edge again? Shaking, lonely And I am drinking again. Woke up tonight  And no one's here with me. I'm giving in to you. Take me under. I'm giving in to you. I'm dying tonight. I'm giving in to you.  Watch me crumble. I'm giving in to you. I'm crying tonight. I'm giving in to you. Caught up in life Losing all my friends. Family has tried To heal my addictions. Tragic it seems To be alone again. I'm giving in to you. Take me under I'm giving in to you. I'm dying tonight. I'm giving in to you. Watch me crumble. I'm giving in to you. I'm crying tonight. I'm giving in to you. Oh fuck I look forward To dying tonight. Drinks still on myself. Life's harder every day. The stress has got to me I'm giving in. Giving Giving in now. Take me under. (I'm killing all the faith) I'm dying tonight. (I'm sick of all that faith) Watch me crumble. (I'm killing all the faith) I'm crying tonight. I'm giving in to you. Take me under. I'm giving in to you. I'm dying tonight. I'm giving in to you. Watch me crumble. I'm giving in to you. I'm crying tonight. I'm giving in to you. Take me under. I'm giving in to you. I'm dying tonight. I'm giving in to you.",,
13,,,
14,,,
15,Mondays is for drinking to the seldom seen kid I've been working on a cocktail called grounds for divorce Polishing a compass that I hold in my sleeve Down comes him on sticks but then he kicks like a horse There's a tiny cigarette case And the rest you can keep And the rest you can keep And the rest you can keep There's a hole in my neighborhood Down which of late I cannot help but fall There's a hole in my neighborhood Down which of late I cannot help but fall Mondays is for drinking to the seldom seen kid There's this whispering of jokers doing flesh by the pound To a chorus of supposes from the little town whores There'll be twisted karaoke at the Aniseed Lounge And I'll bring you further roses But it does you no good And it does me no good And it does you no good There's a hole in my neighborhood Down which of late I cannot help but fall There's a hole in my neighborhood Down which of late I cannot help but fall There's a hole in my neighborhood Down which of late I cannot help but fall Someday we'll be drinking with the seldom seen kid,,
16,,,
17,,,
18,,,
19,"Baby, oh Even in my heart I see You're not bein' true to me Deep within my soul I feel Nothing's like it used to be Sometimes I wish I could turn back time Impossible as it may seem But I wish I could so bad, baby Quit playin' games with my heart Quit playin' games with my heart Before you tear us apart (my heart) Quit playin' games with my heart I should've known from the start You know you got to stop (from my heart) You're tearing us apart (my heart) Quit playin' games with my heart I live my life the way To keep you comin' back to me Everything I do is for you So what is it that you can't see Sometimes I wish I could turn back time Impossible as it may seem But I wish I could so bad, baby You better quit playin' games with my heart Quit playin' games with my heart Before you tear us apart (my heart) Quit playin' games with my heart I should've known from the start You know you got to stop (from my heart) You're tearing us apart (my heart) Quit playin' games Baby, baby the love that we had was so strong Don't leave me hangin' here forever Oh baby, baby this is not right Let's stop this tonight Baby, (oh) quit playin' games Baby Sometimes I wish I could Turn back time, impossible as it may seem But I wish I could so bad, baby Quit playin' games with my heart Quit playin' games with my heart Before you tear us apart (my heart) Quit playin' games with my heart I should've known from the start You know you got to stop (from my heart) You're tearing us apart (my heart) Quit playin' games with my heart Quit playin' games with my heart Baby Quit playin' games with my heart With my heart My heart With my heart",,
20,,,
21,,,
22,,,
23,"After all the lights go low, we find ourselves alone We could be just anywhere but no one's going home You got my name, pick up my number Come on, darling, let's be lovers You got my name, pick up my number Come on, darling, let's be lovers Now see the dying summer moon It's shining just for me and you And the night that seems so alone is gone, gone, gone Weave the sunlight in your hair, catch it in your arms I can see you movin' in, I'm easy and I'm calm You got my name, pick up my number Come on, darling, let's be lovers You got my name, pick up my number Come on, darling, let's be lovers Now see that dying summer moon It's shining just for me and you And the night that seems so alone is gone, gone, gone I see that dying string It's shining just for me and you And the night that seems so alone is gone, gone, gone Good night, good night",,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,"Well my daddy left home when I was three And he didn't leave much to Ma and me Just this old guitar and an empty bottle of booze Now, I don't blame him 'cause he run and hid But the meanest thing that he ever did Was before he left, he went and named me ""Sue"" Well, he must o' thought that is quite a joke And it got a lot of laughs from a' lots of folk It seems I had to fight my whole life through Some gal would giggle and I'd get red And some guy'd laugh and I'd bust his head I tell ya, life ain't easy for a boy named ""Sue"" Well, I grew up quick and I grew up mean My fist got hard and my wits got keen Roam from town to town to hide my shame But I made me a vow to the moon and stars I'd search the honky-tonks and bars And kill that man who gave me that awful name Well, it was Gatlinburg in mid-July And I just hit town and my throat was dry I thought I'd stop and have myself a brew At an old saloon on a street of mud There at a table, dealing stud Sat the dirty, mangy dog that named me ""Sue"" Well, I knew that snake was my own sweet dad From a worn-out picture that my mother'd had And I knew that scar on his cheek and his evil eye He was big and bent and gray and old And I looked at him and my blood ran cold And I said: ""My name is 'Sue!' How do you do!? Now you gonna die!"" Yeah that's what I told 'em Well, I hit him hard right between the eyes And he went down, but to my surprise He come up with a knife and cut off a piece of my ear But I busted a chair right across his teeth And we crashed through the wall and into the street Kicking and a' gouging in the mud and the blood and the beer I tell ya, I've fought tougher men But I really can't remember when He kicked like a mule and he bit like a crocodile I heard him laugh and then I heard him cuss He went for his gun and I pulled mine first He stood there lookin' at me and I saw him smile And he said, ""Son, this world is rough And if a man's gonna make it, he's gotta be tough And I know I wouldn't be there to help ya along So I give ya that name and I said goodbye I knew you'd have to get tough or die And it's the name that helped to make you strong"" Yeah he said, ""Now you just fought one hell of a fight And I know you hate me, and you got the right To kill me now, and I wouldn't blame you if you do But ya ought to thank me, before I die For the gravel in ya guts and the spit in ya eye 'Cause I'm the son-of-a-bitch that named you ""Sue"" Yeah what could I do, what could I do I got all choked up and I threw down my gun Called him my Pa, and he called me his son And I come away with a different point of view And I think about him, now and then Every time I try and every time I win And if I ever have a son, I think I'm gonna name him Bill or George! Anything but Sue! I still hate that name! Yeah",,
31,"I'm a new soul, I came to this strange world Hoping I could learn a bit 'bout how to give and take But since I came here, felt the joy and the fear Finding myself making every possible mistake La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la See I'm a young soul in this very strange world Hoping I could learn a bit 'bout what is true and fake But why all this hate? Try to communicate Finding trust and love is not always easy to make La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la, ooh This is a happy end 'cause you don't understand Everything you have done, why is everything so wrong? This is a happy end, come and give me your hand I'll take you far away I'm a new soul, I came to this strange world Hoping I could learn a bit 'bout how to give and take But since I came here, felt the joy and the fear Finding myself making every possible mistake La-la la la, la-la-la-la la la (New soul) La-la-la-la la, la-la la, la-la la (In this very strange world) La-la la la, la-la-la-la la la (Every possible mistake) La-la-la-la la, la-la la, la-la la (Possible mistake) La-la la la, la-la-la-la la la (Every possible mistake) La-la-la-la la, la-la la, la-la la La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la",,
32,,,
33,,,
34,,,
35,,,
36,Broad is the sea The salt enters the wound My take on you is simple So heal (here) You're free To hear (hear) You're free Time spent waiting off shore The calm before the storm My take from you is simple So here (here) You're free To hear (hear) You're free You're such a comfortable liar You're such a comfortable liar You're such a comfortable liar You're such a comfortable liar You're such a comfortable liar You're so calm Cause I said wrong You comfortable liar You comfortable liar You comfortable liar You comfortable liar Liar,,
37,,,
38,,,
39,,,
40,"When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world And I wish I was special You're so fuckin' special But I'm a creep, I'm a weirdo. What the hell am I doing here? I don't belong here. I don't care if it hurts I want to have control I want a perfect body I want a perfect soul I want you to notice When I'm not around You're so fuckin' special I wish I was special But I'm a creep, I'm a weirdo. What the hell am I doing here? I don't belong here. She's running out again, She's running out She's run run run run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep, I'm a weirdo, What the hell am I doing here? I don't belong here. I don't belong here.",,
41,,,
42,"It's 1 o'clock on a Friday morning  I'm trying to keep my back from wall, The prophets and their pawns have had another success I'm wondering why we bother at all And I think of you on cold winter mornings  Darling they remind me of when we were at school  Nothing really mattered when you called out my name  In fact Nothing really mattered at all  And I think about how long it will take them to blow us away  But I won't get me down I'm just thankful to be facing the day  'Cause days don't get you far when you're gone  It's 5 o' clock on a Friday morning  One hundred telephones sit and ring One of them's from someone who knew you And I still think of you on cold winter mornings  Darling they'll still remind me of when we were at school  When they could never have persuaded me that lives like yours were in the hands of these erroneous fools  And to those of you who live your lives from one day to the next  Well, let them take you to next! Can't you live and be thankful you're here? See it could be you tomorrow, next year",,
43,,,
44,,,
45,,,
46,,,
47,"I was following the, I was following the, I was following the, I was following the I was following the, I was following the, I was following the, I was following the I was following the pack, all swallowed in their coats With scarves of red tied 'round their throats To keep their little heads from falling in the snow, and I turned 'round and there you go And Michael, you would fall and turn the white snow red as strawberries in the summertime I was following the pack, all swallowed in their coats With scarves of red tied 'round their throats To keep their little heads from falling in the snow, and I turned 'round and there you go And Michael, you would fall and turn the white snow red as strawberries in the summertime I was following the pack, all swallowed in their coats With scarves of red tied 'round their throats To keep their little heads from falling in the snow, and I turned 'round and there you go And Michael, you would fall and turn the white snow red as strawberries in summertime",,
48,,,
49,"Show me a smile on your silly face 'Cause I'm getting tired of this human race My darling The eyes of a child hasn't went away And how many heroes have we killed today? I can fly higher than an airplane And I have the voice of a thousand hurricanes My darling Men of destruction reap iniquity When heroes of courage die with dignity How many weapons did I help create? And how many lives will it devastate? My darling I think of all the days in my life Where I could have done something more Yes I remember the days in my life Where I could have done something more There is never a day that goes by That's a good day to die Please open your eyes to the millions of lives That will senselessly die in the wars I think of all the days in my life Where I could have done something more Yeah, I remember the days in my life Where I should have done something more I think of all the days in my life Where I could have done something more Yes, I remember the days in my life Where I should have done something more There was never a day that goes by That's a good day to die Please open your eyes, oh There was never a day that went by That's a good day to die Won't you please close your eyes? For the millions of lives Who have senselessly died in a war?",,
50,"Show me a smile on your silly face 'Cause I'm getting tired of this human race My darling The eyes of a child hasn't went away And how many heroes have we killed today? I can fly higher than an airplane And I have the voice of a thousand hurricanes My darling Men of destruction reap iniquity When heroes of courage die with dignity How many weapons did I help create? And how many lives will it devastate? My darling I think of all the days in my life Where I could have done something more Yes I remember the days in my life Where I could have done something more There is never a day that goes by That's a good day to die Please open your eyes to the millions of lives That will senselessly die in the wars I think of all the days in my life Where I could have done something more Yeah, I remember the days in my life Where I should have done something more I think of all the days in my life Where I could have done something more Yes, I remember the days in my life Where I should have done something more There was never a day that goes by That's a good day to die Please open your eyes, oh There was never a day that went by That's a good day to die Won't you please close your eyes? For the millions of lives Who have senselessly died in a war?",,
51,"Wanderers this morning came by Where did they go Graceful in the morning light To banner fair To follow you softly In the cold mountain air Through the forest Down to your grave Where the birds wait And the tall grasses wave They do not Know you anymore More, more, more Dear shadow alive and well How can the body die You tell me everything Anything true In the town one morning I went Staggering through premonitions of my death I don't see anybody that dear to me Dear shadow alive and well How can the body die You tell me everything Anything true Jesse I don't know what I have done I'm turning myself to a demon I don't know what I have done I'm turning myself to a demon",,
52,"We saw the western coast I saw the hospital Nurse the shoreline like a wound Reports of lover's tryst Were neither clear nor descript We kept it safe and slow The quiet things that no one ever knows Keep the blood in your head and keep your feet on the ground Today's the day it gets tired Then today's the day we drop down Give up my body in bed All for an empty hotel Wasting words on lowercases and capitals I contemplate the day we wed Your friends are boring me to death Your veil is ruined in the rain By then you like to do without There's nothing new to talk about And though our kids are blessed, the parents let them shoulder all the blame Keep the blood in your head and keep your feet on the ground Today's the day it gets tired Today's the day we drop down Give up my body in bed All for an empty hotel Wasting words on lowercases and capitals I lie for only you And I lie well Halleluh Keep the blood in your head and keep your feet on the ground Today's the day it gets tired Today's the day we drop down Give up my body in bed All for an empty hotel Wasting words on lowercases and capitals",,
53,I need another place Will there be peace I need another world This one's nearly gone Still have to many dreams Never seen the light I need another world A place where I can go I'm gonna miss the sea I'm gonna miss the snow I'm gonna miss the bees I miss the things that grow I'm gonna miss the trees I'm gonna miss the sun I miss the animals I'm gonna miss you all I need another place Will there be peace I need another world This one's nearly gone I'm gonna miss the birds Singing all there songs I'm gonna miss the wind Been kissing me so long Another world Another world Another world Another world,,
54,"Touch my skin, and tell me what you're thinking Take my hand and show me where we're going Lie down next to me, look into my eyes and tell me, oh tell me what you're seeing So sit on top of the world and tell me how you're feeling What you feel is what I feel for you Take my hand and if I'm lying to you I'll always be alone If I'm lying to you See my eyes, they carry your reflection Watch my lips and hear the words I'm telling you Give your trust to me and look into my heart and show me, show me what you're doing So sit on top of the world and tell me how you're feeling What you feel is what I feel for you Take my hand and if I'm lying to you I'll always be alone If I'm lying to you Take your time and if I'm lying to you I know you'll find that you believe me You believe me, you believe me Feel the sun on your face and tell me what you're thinking Catch the snow on your tongue and show me how it tastes Take your time Take my hand and if I'm lying to you I'll always be alone If I'm lying to you Take your time, if I'm lying to you I know you'll find that you believe me Take my hand and if I'm lying to you I'll always be alone If I'm lying to you Take your time, if I'm lying to you I know you'll find that you believe me You believe me, you believe me You believe me, you believe me You believe me.",,
55,,,
56,"L'un sans l'autre c'est un incendie Un incident bien senti L'un se dit prêt à mourir pour l'autre L'autre aussi L'un sans l'autre c'est un incendie Qui n's'éteint pas de la vie L'un soleil, l'autre lune L'un soleil et l'autre lune L'incendie C'est l'un sans l'autre L'incendie  C'est l'un sans l'autre L'un sans l'autre c'est un incendie De forêt ou d'euphorie L'un déclare sa flamme au 102 L'autre au 201 le feu L'un sans l'autre c'est un incendie Aussi doué que la pluie Tous les oui qu'ils se sont dits  Tous les oui qu'ils se sont dits L'incendie  C'est l'un sans l'autre L'incendie  C'est l'un sans l'autre Vous avez saisi c'est fusionnel L'un a ses idées et l'autre ses ailes Alors les séparer devient criminel À se faire incendier sur la grande échelle L'incendie C'est l'un sans l'autre L'incendie  C'est l'un sans l'autre",The sun is out The clouds are slowly going And now my heart is growing fast So let's get up Put on you hat and clothing Let's take a trip and lose our minds Let's go walking through the park today I love Sunday Mondays any day When the skies are blue and it's not grey I'll take Sunday Mondays any every day Sometimes it's fun To just escape and run And leave the troubled world behind So let's get lost And get our juices flowing And let's go se what we can find Let's go walking through the park today I love Sunday Mondays any day When the skies are blue and it's not grey I'll take Sunday Mondays any every day Let's go walking through the park today I love Sunday Mondays any day When the skies are blue and it's not grey I'll take Sunday Mondays any every day,
57,,,
58,,,
59,"I'm so tired, of playing Playing with this bow and arrow Gonna give my heart away Leave it to the other girls to play For I've been a temptress too long Just Give me a reason to love you Give me a reason to be, a woman I just want to be a woman From this time, unchained We're all looking at a different picture Through this new frame of mind A thousand flowers could bloom Move over, and give us some room Give me a reason to love you Give me a reason to be, a woman I just want to be a woman So don't you stop, being a man Just take a little look from our side when you can Sow a little tenderness No matter if you cry Give me a reason to love you Give me a reason to be, a woman It's all I want to be is all woman For this is the beginning of forever and ever It's time to move over I'm so tired, of playing Playing with this bow and arrow Gonna give my heart away Leave it to the other girls to play For I've been a temptress too long Just Give me a reason to love you Give me a reason to be",,
60,"Do you believe in magic in a young girl's heart How the music can free her, whenever it starts And it's magic, if the music is groovy It makes you feel happy like an old-time movie I'll tell you about the magic, and it'll free your soul But it's like trying to tell a stranger 'bout rock and roll If you believe in magic don't bother to choose If it's jug band music or rhythm and blues Just go and listen it'll start with a smile It won't wipe off your face no matter how hard you try Your feet start tapping and you can't seem to find How you got there, so just blow your mind If you believe in magic, come along with me We'll dance until morning 'til there's just you and me And maybe, if the music is right I'll meet you tomorrow, sort of late at night And we'll go dancing, baby, then you'll see How the magic's in the music and the music's in me Yeah, do you believe in magic Yeah, believe in the magic of a young girl's soul Believe in the magic of rock and roll Believe in the magic that can set you free Ohh, talking 'bout magic Do you believe like I believe (Do you believe in magic) Do you believe like I believe (Do you believe, believer) Do you believe like I believe (Do you believe in magic)",,
61,,,
62,,,
63,,,
64,"Baptized with the perfect name The dawning won by heart Alone, without himself War between him and the day With someone to blame In the end lil he can do alone You believe on what you see You receive on what you give Caress the one That never-fading rain In your heart To tears of snow-white sorrow There is the one That hiding Amaranth In the land of the day-brave Apart from the wandering path In this brief flied up time We reach for the ones who ever dare You believe on what you see You receive on what you give Caress the one That never-fading rain In your heart To tears of snow-white sorrow There is the one That hiding Amaranth In the land of the day-brave Reaching, searching For something untouched Hearing voices of the never-fading calling There is the one That never-fading rain In your heart To tears of snow-white sorrow There is the one That hiding Amaranth In the land of the day-brave",,
65,"Ahahahahahahahaha It's close to midnight Something evil's lurking from the dark Under the moonlight You see a sight that almost stops your heart You try to scream But terror takes the sound before you make it You start to freeze As horror looks you right between your eyes You're paralyzed 'Cause this is thriller Thriller night And no one’s gonna save you From the beast about to strike You know it’s thriller Thriller night You’re fighting for your life Inside a killer thriller tonight, yeah Ahahahahahahahaha I'm gonna bring it tonight  Ahahahahahahahaha You hear the door slam And realize there's nowhere left to run You feel the cold hand And wonder if you'll ever see the sun You close your eyes And hope that this is just imagination Girl but all the while You hear a creature creeping up behind You're out of time 'Cause this is thriller Thriller night And no one’s gonna save you From the beast about to strike You know it’s thriller Thriller night You’re fighting for your life Inside a killer thriller tonight Ahahahahahahahaha I'm gonna thrill ya tonight  Get up, get up Darkness falls across the land The midnight hour is close at hand Creatures crawl in search of blood To terrorize y'all's neighborhood And whosoever shall be found Without the soul for getting down Must stand and face the hounds of hell And rot inside a corpse's shell I'm gonna thrill ya tonight  I'm gonna thrill ya tonight  Ooh, babe I'm gonna thrill ya tonight  'Cause this is thriller 'Cause this is thriller 'Cause this is thriller 'Cause this is thriller Get up, get up (I'm gonna thrill you tonight) I'm gonna thrill you tonight I'm gonna thrill you tonight I'm gonna thrill you tonight 'Cause this is thriller",,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,"I was crawling around in my head in the haze of a trance Rico said, ""I'ma turn you onto a sound, cool out your head This is the sound from Camden town."" And then I heard it like a shot from my skull to my brain I felt my fingertips tingle and it started to rain When the walls of my bedroom were tremblin' around me This ramshackle voice over attack of a blues beat Tellin' me ""He's only looking for fun"" And this was the sound of the very last gang in town As heard by my wild young heart like directions on a cold dark night Sayin' ""Let it out, let it out, let it out  You're doin' all right."" And I heard it in his chain gang soul How it wasn't just the same sad song Sayin' ""Let it out, let it out, let it out You're doin' all right."" And I carried these songs like a comfort wherever I'd go And they was there when my summers was high  And there when she left me alone. Saying, ""the soul is hard to find"" And I never got to tell him so I just wrote it down I wrapped a couple chords around it and I let it come out When the walls of my bedroom trembled around me This ramshackle voice over attack of a blues beat And a girl, on the excitement gang And this was the sound of the very last gang in town As heard by my wild young heart like directions on a cold dark night Sayin', ""Let it out, let it out, let it out  You're doin' all right."" And I heard it in his chain gang soul How it wasn't just the same sad song Sayin', ""Let it out, let it out, let it out You're doin' all right."" That was the sound I hear the sound Do you hear the sound? I hear the sound Of the very last gang in town",,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,I've been swallowed by your kindness Every part of me is breaking down You have let me feel so helpless As if I couldn't drown It was all with love You understood the need in me So much tenderness You wrapped in humanity You touched my soul My very being You made me whole Now life has new meaning Gotta a second chance You can see the change in me And as we dance You wrap me in humanity Others walked on by in their blindness But you refused to let me be My disguise you saw behind this You pushed on in and set me free And it was in protection You held on with such certainty Embraced by your affection As you wrapped me in humanity You touched my soul My very being You made me whole Now life has new meaning Gotta a second chance You can see the change in me And as we dance You wrap me in humanity,,
86,,,
87,,,
88,I only see myself Reflected in your eyes So all that I believe I am Essentially are lies And everything I'd hoped to be Or ever thought that I was Died with your belief in me So who the hell am I I don't know if I am real without you What is left of me without you I don't know what's real without you How can I exist without you I'm wandering around confused Wondering why I tried The more that you deny my pain The more it intensifies I pray for someone to ache for me The way I ache for you If you ignore that I'm alive I've nothing to cling to I don't know if I am real without you What is left of me without you I don't know what's real without you How can I exist without you I stare into this mirror So tired of this life If only you would speak to me Or cared if I'm alive Once I swore I would die for you But I never meant like this I never meant like this No I never meant like this I don't know if I am real without you What is left of me without you I don't know what's real without you How can I exist without you How can I exist without you How can I exist without you,,
89,"Here we go down that same old road again Sympathy unfolds the shell that holds all the beauty within Here we go down that same old road again A memory, a regret, a hope Here we go down that same old road again Empathy controls the wind that blows and tickles our skin A memory, a regret, a hope, a stimulant Recent it seems  We must push on, we must push on  Though we bleed  We must push on, we must push on  All you need is a modest house in a modest neighborhood In a modest town where honest people dwell Making the cleanest energy for the greenest plants to grow Richest soil that is drenched with the freshest rain Then you should sit in your backyard Watch clouds peak over the tallest mountain tops Cause they unveil honest opinions about the stars We must push on, we must push on Recent it seems We must push on, we must push on  Though we bleed We must push on, we must push on  All you need is a modest house In a modest neighborhood All you need is a modest house In a modest neighborhood All you need is a modest house In a modest neighborhood All you need is a modest house In a modest neighborhood All you need is a modest house In a modest neighborhood",,
90,,,
91,"I feel so unsure As I take your hand and lead you to the dance floor As the music dies Something in your eyes Calls to mind a silver screen And all its sad goodbyes I'm never gonna dance again Cause guilty feet have got no rhythm Though it's easy to pretend I know you're not a fool I should have known better than to cheat a friend And waste the chance that I'd been given So I'm never gonna dance again The way I danced with you Time can never mend The careless whispers of a good friend To the heart and mind Ignorance is kind There's no comfort in the truth Pain is all you'll find I'm never gonna dance again Cause guilty feet have got no rhythm Though it's easy to pretend I know you're not a fool I should have known better than to cheat a friend And waste the chance that I'd been given So I'm never gonna dance again The way I danced with you What am I without your love Tonight the music seems so loud I wish that we could lose the crowd Maybe it's better this way We'd hurt each other with the things we wanna say We could have been so good together We could have lived this daze forever Now, who's gonna dance with me? Please stay I'm never gonna dance again Cause guilty feet have got no rhythm Though it's easy to pretend I know you're not a fool I should have known better than to cheat a friend And waste the chance that I'd been given So I'm never gonna dance again The way I danced with you",,
92,"I feel so unsure As I take your hand and lead you to the dance floor As the music dies Something in your eyes Calls to mind a silver screen And all its sad goodbyes I'm never gonna dance again Cause guilty feet have got no rhythm Though it's easy to pretend I know you're not a fool I should have known better than to cheat a friend And waste the chance that I'd been given So I'm never gonna dance again The way I danced with you Time can never mend The careless whispers of a good friend To the heart and mind Ignorance is kind There's no comfort in the truth Pain is all you'll find I'm never gonna dance again Cause guilty feet have got no rhythm Though it's easy to pretend I know you're not a fool I should have known better than to cheat a friend And waste the chance that I'd been given So I'm never gonna dance again The way I danced with you What am I without your love Tonight the music seems so loud I wish that we could lose the crowd Maybe it's better this way We'd hurt each other with the things we wanna say We could have been so good together We could have lived this daze forever Now, who's gonna dance with me? Please stay I'm never gonna dance again Cause guilty feet have got no rhythm Though it's easy to pretend I know you're not a fool I should have known better than to cheat a friend And waste the chance that I'd been given So I'm never gonna dance again The way I danced with you",,
93,,,
94,,,
95,,,
96,,,
97,Got a letter from a messenger  I read it when it came  It said that you were wounded  You were bound and chained  You had love and you were handled  You were poisoned you were pained  Oh no you were naked  You were shamed  You could almost touch heaven  Right there in front of you  Liberty just slipped away on us  Now there's so much work to do  Oh the door that closes tightly  Is the door than can swing wide  Oh no not expecting to collide  For a minute I let my guard down  Not afraid to be found out  I completely forgot dear  What our fears were all about  Oh no there's no need to be without  If there's a chance I would take it  This desire I can't kill  Take my heart please don't break it  I will crawl to your foothill  I'm frightened but I'm coming  Please baby please lay still  Oh no I'm not coming for the kill,,
98,Restless tonight Cause I wasted the light Between both these times I drew a really thin line It's nothing I planned And not that I can But you should be mine Across that line If I traded it all If I gave it all away for one thing Just for one thing If I sorted it out If I knew all about this one thing Wouldn't that be something I promise I might Not walk on by Maybe next time But not this time Even though I know I don't want to know Yeah I guess I know I just hate how it sounds If I traded it all If I gave it all away for one thing Just for one thing If I sorted it out If I knew all about this one thing Wouldn't that be something If I traded it all If I gave it all away for one thing Just for one thing If I sorted it out If I knew all about this one thing Wouldn't that be something Even though I know I don't want to know Yeah I guess I know I just hate how it sounds,,
99,"I'm a new soul, I came to this strange world Hoping I could learn a bit 'bout how to give and take But since I came here, felt the joy and the fear Finding myself making every possible mistake La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la See I'm a young soul in this very strange world Hoping I could learn a bit 'bout what is true and fake But why all this hate? Try to communicate Finding trust and love is not always easy to make La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la, ooh This is a happy end 'cause you don't understand Everything you have done, why is everything so wrong? This is a happy end, come and give me your hand I'll take you far away I'm a new soul, I came to this strange world Hoping I could learn a bit 'bout how to give and take But since I came here, felt the joy and the fear Finding myself making every possible mistake La-la la la, la-la-la-la la la (New soul) La-la-la-la la, la-la la, la-la la (In this very strange world) La-la la la, la-la-la-la la la (Every possible mistake) La-la-la-la la, la-la la, la-la la (Possible mistake) La-la la la, la-la-la-la la la (Every possible mistake) La-la-la-la la, la-la la, la-la la La-la la la, la-la-la-la la la La-la-la-la la, la-la la, la-la la",,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
